run_id,case_id,family,behavior_class,procedure,repetition,observed_outcome,expected_outcome,all_match,phase_reached,diagnostic_classes,sink_hits,dispatch_outcome,unknown_rule_findings,wall_ms
e5-live-a,E0-01,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,56.948
e5-live-a,E0-02,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,48.313
e5-live-a,E0-03,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,45.177
e5-live-a,E0-04,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,48.756
e5-live-a,E0-05,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,44.435
e5-live-a,E0-06,E0,historical_request_directory,snapshot_directory,1,INCOMPLETE,,,artifact_inventory,,,,0,1.579
e5-live-a,E0-07,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,43.851
e5-live-a,E0-08,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,43.331
e5-live-a,E0-09,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,43.804
e5-live-a,E0-10,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,44.163
e5-live-a,E0-11,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,43.781
e5-live-a,E0-12,E0,historical_request_directory,snapshot_directory,1,INCOMPLETE,,,artifact_inventory,,,,0,1.322
e5-live-a,E0-13,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,43.347
e5-live-a,E0-14,E0,historical_request_directory,snapshot_directory,1,INCOMPLETE,,,artifact_inventory,,,,0,1.366
e5-live-a,E0-15,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,43.835
e5-live-a,E0-16,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,44.697
e5-live-a,E0-17,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,44.484
e5-live-a,E0-18,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,61.152
e5-live-a,E0-19,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,47.714
e5-live-a,E0-20,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,48.779
e5-live-a,E0-21,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,47.475
e5-live-a,E0-22,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,47.011
e5-live-a,E0-23,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,47.132
e5-live-a,E0-24,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,45.637
e5-live-a,E0-25,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,54.955
e5-live-a,E0-26,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,49.837
e5-live-a,E0-27,E0,historical_request_directory,snapshot_directory,1,VERIFIED,,,verify_evidence,,,,44,46.761
